INVS_YR,INVS_DSRT,INVS_AREA_NM,DNF_SRC_NM,QTMT_NM,IEM_NM,IEM_CNT,METER_PER_IEM_CNT,ADM_ZN_NM,QTMT_CD,IEM_CD,INVS_YMD,CST_NM,STR_LA,STR_LO,END_LA,END_LO
2008,3차,사천 아두도,국내기인,플라스틱류,밧줄/로프 (50cm 이상),25,0.25,경남,PL,PL_1_21,20080530,남해안,34.901437,128.058667,34.901096,128.059412
2008,3차,사천 아두도,국내기인,플라스틱류,"끈(플라스틱, 노끈) (2.5~50cm)",5,0.05,경남,PL,PL_1_22,20080530,남해안,34.901437,128.058667,34.901096,128.059412
2008,3차,사천 아두도,국내기인,플라스틱류,"끈(플라스틱, 노끈) (50cm 이상)",22,0.22,경남,PL,PL_1_23,20080530,남해안,34.901437,128.058667,34.901096,128.059412
2008,3차,사천 아두도,국내기인,플라스틱류,낚시줄,0,0.0,경남,PL,PL_1_30,20080530,남해안,34.901437,128.058667,34.901096,128.059412
2008,3차,사천 아두도,국내기인,플라스틱류,"가짜미끼, 형광찌",9,0.09,경남,PL,PL_1_31,20080530,남해안,34.901437,128.058667,34.901096,128.059412
2008,3차,사천 아두도,국내기인,금속,"납 낚시추, 낚싯바늘",0,0.0,경남,ME,ME_1_06,20080530,남해안,34.901437,128.058667,34.901096,128.059412
2008,3차,사천 아두도,국내기인,금속,스프링통발(그물포함),0,0.0,경남,ME,ME_1_07,20080530,남해안,34.901437,128.058667,34.901096,128.059412
2008,3차,사천 아두도,국내기인,고무,풍선,0,0.0,경남,RB,RB_1_02,20080530,남해안,34.901437,128.058667,34.901096,128.059412
2008,3차,여수 반월,국내기인,플라스틱류,"비닐봉투, 비닐쇼핑백 등",7,0.07,전남,PL,PL_1_01,20080530,남해안,34.80759,127.556183,34.807212,127.556956
2008,3차,여수 반월,국내기인,플라스틱류,6개들이 포장고리,1,0.01,전남,PL,PL_1_07,20080530,남해안,34.80759,127.556183,34.807212,127.556956
2008,3차,여수 반월,국내기인,플라스틱류,장어/문어 통발,0,0.0,전남,PL,PL_1_15,20080530,남해안,34.80759,127.556183,34.807212,127.556956
